order_id,order_date,price,quantity,returned,payment_method,delivery_days,region
1038,2024-05-12,133.3,2,No,,,North
1062,2024-05-17,58.25,2,No,Pix,3.0,South
1029,2024-05-21,307.82,4,No,Pix,6.0,East
1041,2024-05-17,165.51,5,Yes,Cash,8.0,East
1002,2024-05-08,47.59,2,Yes,Credit,9.0,North
1064,2024-05-28,error,5,No,Cash,4.0,West
1059,2024-05-19,331.1,1,Yes,Cash,7.0,South
1052,2024-05-03,88.2,5,No,Pix,9.0,South
1084,2024-05-04,53.94,4,Yes,,,East
1022,2024-05-11,422.52,5,Yes,Debit,7.0,North
1016,2024-05-24,60.63,1,No,Cash,6.0,South
1059,2024-05-12,55.33,5,No,Pix,9.0,North
1067,2024-05-10,166.66,4,Yes,Pix,3.0,West
1020,2024-05-11,115.54,3,Yes,  Credit  ,6.0,East
1004,2024-05-02,432.42,4,No,Credit,1.0,North
1090,2024-05-14,397.66,3,No,  Credit  ,4.0,West
1087,2024-05-28,404.64,2,Yes,Pix,2.0,South
1078,2024-05-18,347.82,1,No,Credit,10.0,North
1060,2024-05-07,136.93,3,Yes,,,East
1069,2024-05-11,239.83,2,Yes,Pix,2.0,South
1039,2024-05-12,164.9,5,No,Debit,3.0,South
1089,2024-05-17,439.61,4,No,,,West
1010,2024-05-20,170.68,3,No,Credit,10.0,North
1025,2024-05-02,335.02,1,Yes,,,West
1043,2024-05-11,290.67,4,Yes,Debit,2.0,East
1043,2024-05-14,313.77,4,Yes,Credit,3.0,North
1037,2024-05-17,111.89,3,No,,,North
1080,2024-05-16,133.51,5,No,Debit,5.0,West
1015,2024-05-27,30.39,3,No,  Credit  ,10.0,East
1058,2024-05-16,485.32,5,Yes,Credit,9.0,East
1038,2024-05-05,353.69,2,Yes,Pix,4.0,North
1003,2024-05-07,486.33,4,No,Credit,3.0,North
1064,2024-05-17,19.5,1,Yes,Pix,10.0,South
1089,2024-05-28,380.07,5,No,,,West
1096,2024-05-22,91.59,2,Yes,Pix,2.0,North
1006,2024-05-01,345.77,1,No,Debit,1.0,East
1069,2024-05-05,344.63,4,No,,,East
1055,2024-05-05,498.31,5,Yes,Credit,3.0,North
1089,2024-05-05,268.05,5,No,,,South
1084,2024-05-24,138.84,2,Yes,Debit,2.0,North
1002,2024-05-08,337.22,2,No,  Credit  ,9.0,South
1027,2024-05-16,370.83,3,Yes,Cash,7.0,South
1047,2024-05-20,464.24,2,Yes,,,East
1006,2024-05-24,281.31,3,Yes,Debit,1.0,East
