order_id,order_date,price,quantity,returned,payment_method,delivery_days,region
1065,2024-02-03,277.5,4,Yes,Debit,4.0,West
1019,2024-02-20,222.44,4,No,Cash,2.0,East
1026,2024-02-11,337.78,4,No,Pix,3.0,North
1050,2024-02-18,192.99,2,Yes,Cash,8.0,South
1041,2024-02-06,198.55,5,Yes,Credit,7.0,East
1077,2024-02-12,282.65,1,Yes,Cash,3.0,North
1076,2024-02-17,132.28,2,No,Debit,8.0,South
1061,2024-02-22,409.3,3,No,Cash,9.0,North
1087,2024-02-07,151.04,5,Yes,Cash,6.0,West
1051,2024-02-11,236.1,3,No,Debit,10.0,East
1010,2024-02-24,459.76,4,No,,,North
1047,2024-02-19,352.97,1,Yes,Credit,8.0,West
1068,2024-02-06,39.09,4,No,Debit,10.0,East
1024,2024-02-28,245.95,4,Yes,,,North
1089,2024-02-24,218.68,5,No,  Credit  ,9.0,North
1039,2024-02-21,103.03,2,Yes,Debit,8.0,West
1037,2024-02-18,407.8,5,No,  Credit  ,2.0,South
1011,2024-02-28,364.15,1,Yes,,,West
1026,2024-02-24,204.4,NaN,Yes,Cash,4.0,South
1024,2024-02-16,30.26,4,No,Debit,4.0,South
1006,2024-02-23,319.59,5,Yes,  Credit  ,2.0,South
1039,2024-02-25,85.67,4,Yes,,,West
1012,2024-02-20,18.91,NaN,No,,,North
1045,2024-02-23,217.26,5,No,Debit,6.0,West
1057,2024-02-18,397.48,5,No,Cash,1.0,North
1079,2024-02-19,error,3,Yes,Pix,6.0,North
1088,2024-02-18,error,5,No,Cash,1.0,North
1016,2024-02-01,273.55,5,No,Debit,8.0,North
1093,2024-02-05,161.1,3,No,Credit,8.0,North
1035,2024-02-13,459.96,2,No,,,South
1092,2024-02-14,86.53,NaN,Yes,Debit,4.0,East
1097,2024-02-10,122.39,3,Yes,  Credit  ,1.0,East
1014,2024-02-12,39.53,2,Yes,  Credit  ,1.0,South
1086,2024-02-20,389.99,2,No,Pix,4.0,West
1094,2024-02-06,117.11,5,Yes,  Credit  ,3.0,West
1055,2024-02-27,29.71,4,Yes,Debit,4.0,North
1076,2024-02-23,262.77,3,Yes,Credit,6.0,South
1080,2024-02-20,497.26,3,Yes,Pix,3.0,East
1020,2024-02-08,342.93,3,Yes,  Credit  ,10.0,East
1004,2024-02-12,140.3,4,Yes,Debit,9.0,North
1059,2024-02-14,222.29,2,Yes,Debit,4.0,West
1041,2024-02-28,406.21,3,Yes,,,North
1012,2024-02-27,341.4,1,Yes,Debit,5.0,North
1011,2024-02-04,270.98,5,Yes,  Credit  ,9.0,North
1003,2024-02-19,414.82,1,Yes,Pix,2.0,East
1022,2024-02-28,191.1,3,Yes,Credit,9.0,West
1020,2024-02-13,104.38,4,No,Credit,5.0,South
1026,2024-02-01,error,5,Yes,  Credit  ,9.0,North
1087,2024-02-03,204.92,5,Yes,Pix,7.0,East
1064,2024-02-04,196.95,3,Yes,,,South
1072,2024-02-18,492.1,4,No,Pix,2.0,North
1098,2024-02-28,351.52,5,Yes,,,West
1070,2024-02-27,77.79,1,Yes,  Credit  ,6.0,East
1008,2024-02-11,239.2,5,No,Pix,2.0,South
1039,2024-02-07,138.05,NaN,No,Debit,8.0,South
1005,2024-02-26,32.69,5,Yes,  Credit  ,4.0,South
1010,2024-02-19,136.99,3,No,Pix,3.0,South
1025,2024-02-03,126.31,3,Yes,Cash,2.0,West
1094,2024-02-26,101.04,2,Yes,Debit,4.0,West
1023,2024-02-13,48.75,4,No,Credit,2.0,East
1019,2024-02-17,70.82,3,No,Pix,1.0,West
1045,2024-02-07,34.72,4,No,Debit,2.0,East
1011,2024-02-11,395.48,1,No,Cash,7.0,East
1100,2024-02-08,46.37,NaN,No,  Credit  ,3.0,North
1073,2024-02-14,183.11,4,Yes,Debit,1.0,West
1061,2024-02-12,223.15,1,No,Cash,1.0,North
1042,2024-02-05,114.17,2,Yes,,,North
1050,2024-02-03,202.9,2,No,Debit,6.0,North
1088,2024-02-18,410.37,4,No,Pix,9.0,South
1068,2024-02-20,68.69,1,No,Credit,3.0,South
1070,2024-02-28,385.83,5,No,  Credit  ,10.0,East
1061,2024-02-06,419.14,5,Yes,,,West
1100,2024-02-21,305.78,3,No,Cash,9.0,North
1012,2024-02-10,53.42,2,Yes,Credit,10.0,North
1098,2024-02-01,254.84,1,No,,,South
1069,2024-02-02,444.71,2,Yes,,,West
1095,2024-02-21,437.84,4,No,  Credit  ,1.0,South
1013,2024-02-26,67.51,1,No,Debit,8.0,North
1000,2024-02-14,293.19,3,Yes,Credit,4.0,North
1015,2024-02-14,193.7,3,No,Credit,4.0,North
1029,2024-02-01,328.21,4,No,Debit,2.0,West
1040,2024-02-11,384.55,2,Yes,Debit,9.0,South
1063,2024-02-04,466.7,1,No,Debit,5.0,South
1036,2024-02-14,268.23,1,Yes,  Credit  ,4.0,West
1057,2024-02-08,270.12,2,Yes,  Credit  ,2.0,South
1041,2024-02-25,172.22,5,No,  Credit  ,8.0,West
1100,2024-02-08,388.85,1,Yes,Debit,10.0,South
1014,2024-02-09,77.07,5,No,Debit,3.0,East
1090,2024-02-12,99.65,4,No,  Credit  ,4.0,South
1084,2024-02-25,error,3,Yes,  Credit  ,7.0,North
1045,2024-02-05,124.98,2,No,Cash,9.0,West
1091,2024-02-26,486.11,NaN,Yes,  Credit  ,4.0,West
1035,2024-02-10,478.93,2,Yes,Debit,6.0,South
1084,2024-02-25,127.27,1,No,Credit,6.0,South
1043,2024-02-14,375.25,3,No,Cash,5.0,East
1036,2024-02-09,10.53,4,No,Credit,7.0,South
1039,2024-02-24,341.96,5,No,Debit,2.0,East
1084,2024-02-22,error,5,Yes,Credit,6.0,West
1008,2024-02-10,119.89,3,Yes,Credit,8.0,North
1099,2024-02-13,156.19,NaN,No,,,South
1035,2024-02-27,468.02,5,No,Credit,5.0,East
1006,2024-02-26,335.78,3,Yes,Pix,2.0,South
1078,2024-02-02,208.46,5,No,  Credit  ,2.0,West
1049,2024-02-14,168.86,4,No,Debit,6.0,East
1022,2024-02-02,50.14,3,Yes,Credit,3.0,West
1011,2024-02-09,206.44,5,Yes,Pix,10.0,South
1032,2024-02-26,389.88,NaN,Yes,Debit,6.0,East
1085,2024-02-27,301.29,2,No,  Credit  ,5.0,East
1055,2024-02-16,30.6,3,No,  Credit  ,10.0,South
1097,2024-02-22,124.69,3,Yes,Pix,7.0,South
1041,2024-02-13,139.81,3,No,Credit,2.0,West
1030,2024-02-28,240.94,4,No,Pix,5.0,North
1091,2024-02-22,194.48,1,No,Pix,2.0,South
1018,2024-02-01,310.5,5,No,,,North
1089,2024-02-12,175.38,3,No,,,West
1080,2024-02-01,485.08,NaN,Yes,Debit,5.0,West
1092,2024-02-26,136.07,5,Yes,Credit,2.0,East
1052,2024-02-10,217.47,4,No,  Credit  ,1.0,East
1057,2024-02-01,10.16,5,No,Cash,5.0,West
1080,2024-02-14,72.5,3,Yes,Credit,1.0,South
1077,2024-02-11,161.24,2,Yes,Debit,1.0,East
1087,2024-02-07,452.03,NaN,Yes,Debit,1.0,South
1086,2024-02-09,73.86,1,Yes,  Credit  ,5.0,East
1036,2024-02-18,498.31,2,No,  Credit  ,8.0,North
1049,2024-02-09,335.32,3,No,Cash,7.0,South
1042,2024-02-13,164.1,2,No,Credit,4.0,North
1086,2024-02-10,385.8,5,No,Cash,4.0,East
1005,2024-02-27,414.66,2,No,  Credit  ,5.0,West
1067,2024-02-09,168.2,4,No,,,West
1065,2024-02-11,83.22,4,Yes,Pix,6.0,South
1075,2024-02-20,95.44,3,No,Pix,3.0,East
1047,2024-02-22,243.34,2,No,  Credit  ,2.0,East
1076,2024-02-15,154.7,NaN,Yes,Cash,4.0,West
1008,2024-02-28,490.08,2,Yes,Cash,1.0,South
1002,2024-02-06,489.12,5,No,,,North
1093,2024-02-22,164.27,2,Yes,Cash,4.0,South
1017,2024-02-17,287.41,2,Yes,,,South
1042,2024-02-15,397.54,3,Yes,Cash,1.0,West
1065,2024-02-18,240.62,3,No,Pix,7.0,West
1079,2024-02-28,402.75,1,No,  Credit  ,2.0,West
1035,2024-02-23,381.29,5,Yes,,,East
1100,2024-02-03,281.37,2,No,Credit,10.0,North
1034,2024-02-21,105.16,4,Yes,Credit,1.0,East
1093,2024-02-26,212.79,5,No,  Credit  ,1.0,East
1056,2024-02-23,200.08,3,Yes,Pix,10.0,East
1056,2024-02-25,336.32,5,Yes,Cash,4.0,West
1068,2024-02-07,205.84,3,Yes,Cash,5.0,South
1017,2024-02-06,15.03,3,Yes,,,South
1054,2024-02-14,97.73,4,Yes,Debit,2.0,West
1087,2024-02-02,22.81,5,Yes,  Credit  ,2.0,South
1075,2024-02-26,110.04,2,Yes,,,West
1094,2024-02-24,error,5,No,Pix,3.0,North
1099,2024-02-03,306.34,NaN,No,Cash,10.0,South
1028,2024-02-04,67.82,5,Yes,Debit,8.0,South
1096,2024-02-17,168.25,1,Yes,Pix,10.0,North
1030,2024-02-21,332.56,2,Yes,,,East
1061,2024-02-01,395.29,4,Yes,,,North
1024,2024-02-06,200.52,4,No,Debit,7.0,West
1052,2024-02-09,368.28,4,No,  Credit  ,5.0,South
1080,2024-02-01,12.71,4,Yes,,,South
1083,2024-02-01,105.6,4,Yes,Debit,2.0,South
1003,2024-02-21,474.89,4,No,Credit,5.0,North
1046,2024-02-22,206.1,5,Yes,Cash,5.0,South
1030,2024-02-08,error,1,Yes,Credit,8.0,West
1003,2024-02-27,322.95,4,Yes,Credit,10.0,East
1009,2024-02-27,438.0,2,Yes,Pix,4.0,South
1072,2024-02-18,473.36,5,No,Pix,4.0,West
1083,2024-02-23,21.68,3,Yes,,,North
1058,2024-02-20,459.34,3,Yes,Pix,10.0,West
1058,2024-02-08,367.82,1,No,Pix,5.0,East
1099,2024-02-18,356.1,5,Yes,Credit,10.0,South
1099,2024-02-12,error,4,No,  Credit  ,9.0,South
1039,2024-02-11,275.98,2,Yes,Credit,7.0,North
1049,2024-02-01,369.17,4,Yes,,,East
1000,2024-02-16,437.26,3,No,Debit,7.0,North
1052,2024-02-10,445.04,1,No,Pix,10.0,South
1075,2024-02-21,334.56,5,No,Debit,10.0,East
1056,2024-02-11,133.53,NaN,No,Debit,9.0,East
1030,2024-02-05,293.74,4,Yes,Pix,5.0,South
1062,2024-02-26,50.06,3,No,Debit,4.0,South
1021,2024-02-22,83.07,5,No,Credit,5.0,North
1052,2024-02-15,273.31,NaN,Yes,Debit,8.0,East
1079,2024-02-03,273.8,2,No,,,East
1027,2024-02-01,310.4,1,No,Debit,7.0,West
1039,2024-02-01,206.35,5,No,Cash,8.0,North
1001,2024-02-03,305.82,3,Yes,Pix,6.0,North
1012,2024-02-04,259.17,1,Yes,  Credit  ,6.0,East
1087,2024-02-19,293.69,5,Yes,  Credit  ,9.0,South
1050,2024-02-21,391.76,5,No,,,North
1012,2024-02-16,371.76,2,No,Debit,2.0,West
1061,2024-02-10,68.43,5,Yes,Debit,9.0,East
1035,2024-02-08,463.08,3,Yes,  Credit  ,1.0,East
1089,2024-02-09,371.51,3,Yes,Debit,8.0,North
1010,2024-02-22,150.16,2,Yes,,,North
1043,2024-02-08,256.35,1,Yes,  Credit  ,10.0,East
1029,2024-02-03,200.05,5,No,Debit,9.0,West
1081,2024-02-05,130.33,5,Yes,Pix,2.0,South
1059,2024-02-10,316.21,1,No,Debit,4.0,North
1016,2024-02-15,302.42,1,Yes,Credit,7.0,East
1033,2024-02-06,377.75,3,No,,,South
1030,2024-02-21,488.18,3,No,Debit,9.0,West
1037,2024-02-14,error,4,No,Credit,4.0,East
1057,2024-02-24,424.19,3,No,Debit,6.0,East
1010,2024-02-03,133.05,4,No,Credit,1.0,East
1043,2024-02-17,226.49,5,No,Debit,6.0,North
1049,2024-02-13,107.21,NaN,No,Debit,1.0,East
1087,2024-02-05,462.82,2,No,Pix,6.0,West
1022,2024-02-18,78.75,2,No,Credit,2.0,South
1049,2024-02-18,441.89,2,Yes,Credit,3.0,North
1092,2024-02-04,202.12,4,No,,,West
1075,2024-02-11,107.44,5,No,,,West
1090,2024-02-15,54.39,5,Yes,Cash,1.0,North
1057,2024-02-11,210.11,2,Yes,  Credit  ,5.0,South
1053,2024-02-15,492.3,2,Yes,Credit,5.0,South
1051,2024-02-13,399.55,4,Yes,Debit,2.0,West
1012,2024-02-09,298.28,2,No,Cash,1.0,South
1055,2024-02-07,295.32,4,Yes,Cash,4.0,West
1048,2024-02-17,251.2,4,No,,,North
1030,2024-02-19,495.01,5,No,Credit,1.0,West
1068,2024-02-04,135.71,5,No,,,West
1007,2024-02-21,241.06,4,Yes,Credit,4.0,South
1035,2024-02-20,179.23,3,Yes,,,West
1043,2024-02-01,294.14,1,Yes,Pix,5.0,South
1043,2024-02-12,386.88,5,No,  Credit  ,7.0,East
1093,2024-02-17,28.9,2,No,,,South
1091,2024-02-21,260.94,4,No,Credit,9.0,West
1044,2024-02-23,200.62,NaN,No,  Credit  ,1.0,East
1084,2024-02-26,409.76,2,Yes,Cash,4.0,East
1051,2024-02-03,422.3,3,Yes,,,South
1023,2024-02-22,480.65,1,No,  Credit  ,10.0,South
1029,2024-02-28,133.46,2,No,Pix,8.0,North
1023,2024-02-28,339.28,2,Yes,Cash,8.0,North
1026,2024-02-22,371.06,2,No,,,South
1027,2024-02-19,155.37,1,No,Debit,7.0,East
1034,2024-02-01,274.64,2,Yes,,,North
1022,2024-02-11,282.87,5,No,Cash,10.0,East
1002,2024-02-24,78.3,1,Yes,,,West
1007,2024-02-28,314.41,2,No,Debit,2.0,West
1065,2024-02-18,412.98,1,No,Debit,2.0,West
1020,2024-02-25,44.43,1,No,  Credit  ,5.0,South
1094,2024-02-11,251.99,2,Yes,Pix,10.0,South
1039,2024-02-05,114.1,5,Yes,Debit,10.0,North
1064,2024-02-10,254.12,NaN,Yes,Debit,4.0,North
1078,2024-02-18,25.03,NaN,No,Credit,3.0,West
1033,2024-02-15,376.83,1,Yes,Cash,9.0,North
1069,2024-02-12,86.54,4,No,Credit,6.0,West
1057,2024-02-15,224.71,3,Yes,  Credit  ,4.0,West
1034,2024-02-26,368.91,1,Yes,Cash,8.0,East
1099,2024-02-09,383.73,1,No,  Credit  ,8.0,South
1023,2024-02-06,181.76,3,No,Pix,4.0,West
1053,2024-02-04,13.62,5,No,,,East
1000,2024-02-07,218.22,2,Yes,Cash,7.0,West
1021,2024-02-23,101.93,3,Yes,Debit,8.0,East
1004,2024-02-14,error,5,Yes,  Credit  ,4.0,West
1051,2024-02-14,84.69,4,No,  Credit  ,8.0,East
1027,2024-02-10,393.7,1,No,Pix,8.0,South
1081,2024-02-26,445.81,5,No,Cash,3.0,North
1084,2024-02-19,109.22,4,Yes,Pix,1.0,North
1071,2024-02-15,362.78,3,Yes,Credit,10.0,East
1043,2024-02-05,490.08,5,Yes,  Credit  ,4.0,West
1000,2024-02-27,433.98,2,No,Cash,3.0,North
1007,2024-02-16,error,5,No,Debit,4.0,East
1090,2024-02-27,325.15,2,Yes,  Credit  ,8.0,North
1031,2024-02-16,169.56,NaN,Yes,Pix,9.0,South
1066,2024-02-09,66.91,4,No,  Credit  ,6.0,West
1022,2024-02-24,435.73,5,Yes,Credit,8.0,East
1027,2024-02-16,39.95,2,Yes,Debit,8.0,South
1036,2024-02-19,125.1,1,No,  Credit  ,3.0,South
1039,2024-02-04,139.24,1,No,,,East
1093,2024-02-09,207.64,2,No,Debit,3.0,North
1055,2024-02-11,428.16,5,No,Credit,9.0,South
